MIU,FORC,TATM,TOCEAN,MAT,MU,ML,E,EIND,C,K,CPC,I,S,RI,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCA,PERIODU,CPRICE,CEMUTOTPER
0.0390,2.1424,0.8000,0.0068, 830.4000,1527.0000,10010.0000, 36.8538, 33.5538,  47.0290, 135.0000,  6.8776, 16.4439,0.2591,0.0516,  63.4729,  63.5820,  63.4733, 0.1086,0.0017, 0.0005,  1.0000,  90.0000,0.2891,  1.0000,1976.8270
0.1953,2.3982,0.9255,0.0266, 866.1174,1541.1079,10010.4391, 34.5437, 31.9037,  56.2892, 161.9356,  7.7721, 19.3893,0.2562,0.0507,  75.6785,  75.9011,  75.7276, 0.1736,0.0023, 0.0490, 17.7348, 135.7635,0.3390, 17.7348,2279.4018
0.2185,2.6097,1.0546,0.0491, 896.0816,1557.7830,10010.9134, 36.9374, 34.8254,  66.6495, 192.5678,  8.7558, 22.6692,0.2538,0.0496,  89.3187,  89.6585,  89.3923, 0.2662,0.0030, 0.0736, 21.1558, 179.2765,0.3852, 21.1558,2526.3256
0.2432,2.8225,1.1871,0.0742, 927.3129,1576.4143,10011.4291, 39.2360, 37.5464,  78.1135, 227.0553,  9.8289, 26.2742,0.2517,0.0485, 104.3877, 104.8902, 104.4955, 0.3947,0.0038, 0.1078, 25.0217, 226.7744,0.4276, 25.0217,2718.1215
0.2695,3.0354,1.3225,0.1021, 959.6450,1597.0335,10011.9913, 41.3521, 40.0005,  90.6815, 265.4449, 10.9923, 30.2091,0.2499,0.0473, 120.8905, 121.6131, 121.0452, 0.5680,0.0047, 0.1547, 29.3478, 277.9834,0.4666, 29.3478,2858.0207
0.2973,3.2467,1.4604,0.1326, 992.8083,1619.6562,10012.6049, 43.2100, 42.1286, 104.3504, 307.7878, 12.2469, 34.4781,0.2484,0.0462, 138.8285, 139.8422, 139.0459, 0.7963,0.0057, 0.2174, 34.1485, 332.5394,0.5025, 34.1485,2950.7853
0.3266,3.4544,1.5999,0.1658,1026.4542,1644.2738,10013.2747, 44.7439, 43.8789, 119.1143, 354.1360, 13.5938, 39.0852,0.2471,0.0451, 158.1995, 159.5900, 158.4993, 1.0907,0.0068, 0.2998, 39.4369, 389.9980,0.5355, 39.4369,3001.9134
0.3574,3.6566,1.7404,0.2016,1060.1750,1670.8474,10014.0060, 45.8979, 45.2059, 134.9641, 404.5395, 15.0337, 44.0338,0.2460,0.0440, 178.9979, 180.8669, 179.4041, 1.4628,0.0081, 0.4062, 45.2245, 449.8437,0.5659, 45.2245,3017.1115
0.3897,3.8514,1.8811,0.2401,1093.5208,1699.3037,10014.8033, 46.6245, 46.0709, 151.8882, 459.0454, 16.5674, 49.3269,0.2451,0.0430, 201.2151, 203.6809, 201.7565, 1.9244,0.0094, 0.5414, 51.5213, 511.4992,0.5940, 51.5213,3001.9532
0.4235,4.0369,2.0210,0.2811,1126.0138,1729.5328,10015.6716, 46.8844, 46.4415, 169.8727, 517.6964, 18.1953, 54.9672,0.2445,0.0420, 224.8400, 228.0376, 225.5507, 2.4869,0.0109, 0.7108, 58.3349, 574.3345,0.6199, 58.3349,2961.6697
0.4587,4.2115,2.1592,0.3246,1157.1605,1761.3874,10016.6151, 46.6458, 46.2915, 188.9022, 580.5308, 19.9175, 60.9570,0.2440,0.0410, 249.8592, 253.9403, 250.7793, 3.1610,0.0124, 0.9201, 65.6707, 637.6753,0.6440, 65.6707,2901.0317
0.4954,4.3736,2.2947,0.3705,1186.4619,1794.6826,10017.6380, 45.8841, 45.6006, 208.9599, 647.5827, 21.7340, 67.2983,0.2436,0.0401, 276.2582, 281.3899, 277.4337, 3.9562,0.0141, 1.1755, 73.5312, 700.8115,0.6662, 73.5312,2824.2945
0.5334,4.5217,2.4266,0.4186,1213.4220,1829.1973,10018.7438, 44.5813, 44.3545, 230.0285, 718.8826, 23.6446, 73.9929,0.2434,0.0392, 304.0215, 310.3849, 305.5051, 4.8798,0.0157, 1.4836, 81.9162, 763.0055,0.6869, 81.9162,2735.1863
0.5729,4.6547,2.5538,0.4688,1237.5557,1864.6757,10019.9354, 42.7259, 42.5445, 252.0911, 794.4576, 25.6488, 81.0425,0.2433,0.0384, 333.1336, 340.9216, 334.9849, 5.9367,0.0174, 1.8512, 90.8219, 823.4999,0.7062, 90.8219,2636.9235
